,Equity
238,10006.183183762663
239,10004.895514754397
240,10005.816254098405
241,10006.396395672658
242,10006.59892679471
243,10006.642963363025
244,10005.763279217168
245,10006.69262107434
246,10007.432474053274
247,10007.481031948317
248,10007.414528382491
249,10007.24061771726
250,10007.9157804222
251,10008.71454616957
252,10009.45931855759
253,10009.447988756474
254,10010.042251129536
255,10010.723534946415
256,10009.430518471196
257,10009.339197964931
258,10008.764529275124
259,10008.61488229853
260,10009.689683061373
261,10009.402553266553
262,10009.375471415313
263,10009.54733337596
264,10009.122938075026
265,10009.266231745649
266,10009.680645683282
267,10009.771262734883
268,10011.149814680273
269,10010.860708751401
270,10010.75525421235
271,10010.656532167763
272,10011.46057254272
273,10012.158687642617
274,10012.080489330147
275,10011.593789184577
276,10011.548742381952
277,10010.558856837466
278,10009.741388157541
279,10010.188544048666
280,10008.27101471082
281,10009.28257340986
282,10008.973520203494
283,10008.984839825367
284,10008.993725224347
285,10008.267949352223
286,10008.156422331705
287,10010.57788765689
288,10010.399671865329
289,10009.673193866793
290,10008.679628528138
291,10009.17135999416
292,10008.6698009937
293,10008.35640824229
294,10008.827642493152
295,10007.873788010784
296,10009.189390583293
297,10009.459881404633
298,10009.951766942917
299,10010.731578585974
300,10010.29966971289
301,10009.425995974678
302,10009.922131057972
303,10009.337873921933
304,10010.195055536486
305,10008.587579366507
306,10009.558704246932
307,10009.922825921547
308,10010.463729523803
309,10010.454680455625
310,10010.648933072029
311,10010.543162878008
312,10010.303103633127
313,10011.003279928616
314,10010.931574179132
315,10010.630003401917
316,10010.388102061366
317,10010.50102490069
318,10010.405393875606
319,10009.781048926618
320,10009.997251264887
321,10009.209055777468
322,10009.145893484152
323,10009.690622152459
324,10009.032627395978
325,10009.804023888275
326,10010.36242917684
327,10011.606402684796
328,10012.52245369944
329,10011.46792250873
330,10011.666575767342
331,10011.748908014586
332,10012.657601856992
333,10012.564019155714
334,10012.857599344707
335,10012.771063062359
336,10013.46745212946
337,10012.926192503668
338,10013.337874363495
339,10013.511180235442
340,10013.79726329254
341,10014.224864892089
342,10014.404230941456
343,10013.451796704388
344,10013.61261490236
345,10015.341551632615
346,10015.144574990627
347,10015.156717905575
348,10015.328437192384
349,10015.220310327508
350,10016.873391880179
351,10018.514962788877
352,10017.814023880848
353,10018.326756386474
354,10018.419694275406
355,10019.692452068035
356,10019.209616516093
357,10018.867455848542
358,10019.431664280224
359,10019.211641282625
360,10018.48584635862
361,10018.843175407608
362,10019.59113864691
363,10020.316702966393
364,10020.838323757534
365,10021.11469518744
366,10021.844554832322
367,10021.0985579108
368,10020.098965842359
369,10018.774245673445
370,10020.846306093901
371,10019.69018849077
372,10019.056496299176
373,10019.150346853521
374,10024.580848611951
375,10024.20033930776
376,10025.02126821416
377,10024.002545190446
378,10024.306444507794
379,10023.833095534412
380,10018.063984021068
381,10019.068870962192
382,10018.404022977997
383,10017.05508834039
384,10018.137736852395
385,10019.027214783451
386,10020.516983770978
387,10020.319086679023
388,10020.469365044395
389,10019.984525820018
390,10020.555955753369
391,10021.738372172425
392,10023.19066665674
393,10022.717684244943
394,10022.038349252412
395,10022.210099660813
396,10021.029182152737
397,10021.149151529551
398,10020.435040897244
399,10021.184995366377
400,10020.65780621426
401,10019.984010508955
402,10021.068718762024
403,10021.375908902684
404,10019.938458237288
405,10019.872088047132
406,10020.29690390307
407,10019.626911035335
408,10020.515246061032
409,10019.89276916945
410,10018.420112940501
411,10018.615073672945
412,10019.483320378333
413,10019.334691153741
414,10019.391006919659
415,10019.499714357242
416,10018.69756815049
417,10019.000072121084
418,10019.280591515773
419,10018.771683733801
420,10018.129354164459
421,10017.62019733736
422,10016.44222976318
423,10015.678857863835
424,10015.95523310149
425,10015.699196111671
426,10016.857055287393
427,10017.232288759169
428,10017.893073335363
429,10017.52917603397
430,10017.51296566214
431,10017.521001317913
432,10017.42529746387
433,10017.138453135463
434,10017.689972993483
435,10016.692804604916
436,10017.253705258388
437,10016.827517783093
438,10016.365179691464
439,10015.403837243935
440,10015.883544714503
441,10017.497611789298
442,10018.410949638273
443,10019.282824474007
444,10020.917421887214
445,10020.107024870626
446,10021.194519123152
447,10020.986198187718
448,10019.124700533808
449,10017.937173552287
450,10018.817286027645
451,10018.219643407614
452,10018.786675358937
453,10018.11621340864
454,10018.613837293029
455,10018.75604724963
456,10018.960589435084
457,10019.521626149377
458,10019.324474009034
459,10019.312502082124
460,10019.884213843177
461,10019.617706862944
462,10020.649468130052
463,10021.376704450528
464,10021.07557752514
465,10020.657024377639
466,10021.470817255848
467,10021.02504654729
468,10021.651416655903
469,10021.935367861122
470,10022.236208525148
471,10021.882697660649
472,10021.73304007403
473,10020.000110743515
474,10019.266077910355
475,10019.561240519393
476,10019.031503050308
477,10019.274715494785
478,10019.1597024499
479,10019.088165597517
480,10019.358919188966
481,10019.589354255739
482,10019.489841073882
483,10019.40752052669
484,10019.835787780003
485,10019.63812388466
486,10019.576586639227
487,10017.919883613016
488,10018.451348250115
489,10020.058865479596
490,10021.115629406584
491,10020.092515159162
492,10020.542211332073
493,10021.496886844841
494,10021.217005101771
495,10020.756703229617
496,10022.469715556252
497,10023.1951862054
498,10023.021338944292
499,10023.887577842062
500,10024.406833965859
501,10025.109044565863
502,10024.76637547851
503,10024.514375663475
504,10024.856471602838
505,10024.64893741527
506,10024.201611292312
507,10023.872896319268
508,10024.233596462913
509,10023.79383419619
510,10023.959336000311
511,10023.904967995883
512,10024.786452364748
513,10023.818652271852
514,10023.412653003536
515,10023.59125811574
516,10023.625927774547
517,10023.611319944474
518,10020.847331711231
519,10019.787882420458
520,10020.212509853873
521,10020.76852873798
522,10022.239408723102
523,10022.233674465548
524,10021.09195253127
525,10021.738293565077
526,10021.49805441333
527,10019.925941635882
528,10020.847046467781
529,10021.558383848755
530,10021.311173075974
531,10021.743977195549
532,10021.370097493687
533,10021.62831964039
534,10021.707405357702
535,10021.234466145312
536,10020.441099727559
537,10021.796613187413
538,10021.691371915811
539,10021.777747212418
540,10020.914488015595
541,10020.496573924465
542,10020.312497497518
543,10018.545814468007
544,10019.310991535465
545,10019.08507470937
546,10019.822026004858
547,10019.362638739312
548,10018.014895280496
549,10017.392447027369
550,10016.14835249055
551,10016.638394069898
552,10016.121688728477
553,10017.127332194577
554,10016.63288236216
555,10016.372302967247
556,10016.115926663253
557,10015.46980534007
558,10016.65281380432
559,10017.013230398525
560,10017.892330069191
561,10019.25450114327
562,10018.374354333617
563,10018.72771020993
564,10016.589509505266
565,10014.560631102198
566,10014.807159429562
567,10014.337667107173
568,10014.831006827622
569,10017.084176561058
570,10017.713872981389
571,10018.183272736273
572,10017.760043882916
573,10016.554034887595
574,10016.880541479333
575,10017.097588785819
576,10017.083723197353
577,10017.46493368784
578,10017.614860376349
579,10017.284373374774
580,10017.397453596499
581,10017.556992901107
582,10017.69481124856
583,10018.016072749215
584,10017.218160282111
585,10016.906481528276
586,10015.267290301139
587,10014.553504113252
588,10015.21574319351
589,10014.763301069454
590,10014.43762858171
591,10014.73597080092
592,10011.742184293102
593,10010.99538174257
594,10010.292023769309
595,10009.714995348962
596,10010.685098771335
597,10009.707577401168
598,10009.918631811297
599,10009.28940690854
600,10010.2536026899
601,10010.395676777696
602,10010.365092078939
603,10010.52670577408
604,10010.542138074541
605,10009.562801143942
606,10010.544140995878
607,10009.868281344754
608,10010.102251477121
609,10008.466675863669
610,10007.84876959696
611,10008.817582331298
612,10007.97665122271
613,10008.159154987217
614,10010.534979558961
615,10010.629765719654
616,10009.551077660202
617,10008.276883572873
618,10008.937231267513
619,10009.924249508387
620,10009.77018066309
621,10008.457489748405
622,10008.68215009882
623,10008.711134146643
624,10009.50524854091
625,10009.093782047345
626,10008.934856593767
627,10009.127655625698
628,10009.242142470704
629,10009.033481632401
630,10009.250574846674
631,10009.737405147702
632,10010.850332518734
633,10010.071034821603
634,10009.70635494238
635,10009.286330647632
636,10008.262311140732
637,10008.70043842772
638,10010.448685559497
639,10009.281961671024
640,10008.74002464543
641,10007.399082693608
642,10006.713305176996
643,10007.614573961888
644,10007.731408418691
645,10007.966201050212
646,10009.050497905506
647,10009.028944334857
648,10009.03671195667
649,10009.660029319315
650,10010.206758133947
651,10010.955664285124
652,10011.132546485465
653,10011.133294559184
654,10010.881159198068
655,10011.332069662363
656,10010.078407409674
