Time,Open,High,Low,Close,volume,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,Ren_Value,Blue,Red,Increase,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,EndTime_fr,HI_Value,BearWarning,BullWarning,OBV,VWAP,peak,crust,atr,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,returns,t_dir,pnn_0,pnn_1,pnn_2,pnn_3,pnn_4,pnn_5,pnn_6,pnn_7,pnn_8,pnn_9,pnn_10,pnn_11,pnn_12,pnn_13,pnn_14,pnn_15,pnn_16,pnn_17,pnn_18,pnn_19,pnn_20,pnn_21,pnn_22,pnn_23,pnn_24,pnn_25,pnn_26,pnn_27,pnn_28,pnn_29,pnn_30,pnn_31,pnn_32,pnn_33,pnn_34,pnn_35,pnn_36,pnn_37,pnn_38,pnn_39,pnn_40,pnn_41,pnn_42,pnn_43,pnn_44,pnn_45,pnn_46,pnn_47,pnn_48,pnn_49,pnn_50,pnn_51,pnn_52,pnn_53,pnn_54,pnn_55,pnn_56,pnn_57,pnn_58,pnn_59,pnn_60,pnn_61,pnn_62,pnn_63,pnn_64,pnn_65,pnn_66,pnn_67,pnn_68,pnn_69,pnn_70,pnn_71,pnn_72,pnn_73,pnn_74,pnn_75,pnn_76,pnn_77,pnn_78,pnn_79,pnn_80,pnn_81,pnn_82,pnn_83,pnn_84,pnn_85,pnn_86,pnn_87,pnn_88,pnn_89,pnn_90,pnn_91,pnn_92,pnn_93,pnn_94,pnn_95,pnn_96,pnn_97,pnn_98,pnn_99
2010-07-15 01:00:00+00:00,1.27141,1.27265,1.27125,1.27233,1254.0,1.4003260000000002,1.3524775,1.4216858333333333,0,0,0,1,0,1,1.27233,0,1,1,1,0,1,1.430675,0.0,2010-07-15 01:00:00+00:00,1.27265,False,True,-1254.0,1.27233,0,1,0.013910714285714316,0,0,0,0,0,0,-0.11865856060170278,0,-0.2598518,0.17373942,0.07018708,0.03521305,-0.30730855,-0.104437225,0.14499564,-0.096955,-0.28307402,-0.058076195,0.27744514,0.12760398,-0.12447931,0.1930946,-0.17429702,0.22620404,-0.21108378,0.24856204,0.1294159,0.07800393,-0.15694629,-0.042117864,-0.08209279,-0.28228006,-0.24821737,-0.058058355,0.12545462,-0.18398651,0.054803908,0.08566461,-0.05915292,0.2606385,0.15847944,0.18318687,-0.27282512,-0.15367901,-0.15585661,0.13154133,0.10297203,0.18453422,-0.3150607,-0.014453437,-0.021125963,0.37577918,0.0061412062,0.08818041,-0.2373368,0.3261845,-0.1542279,-0.25779343,-0.17910479,-0.3527025,0.18440041,-0.043896362,-0.19321188,0.041976765,0.14286909,0.27352524,-0.073847204,-0.029109519,-0.10759184,-0.053335413,0.25910527,-0.246712,0.310313,-0.32963544,0.123648986,-0.15591425,0.19858465,0.1937531,0.26524115,-0.18555312,-0.11953142,0.05110932,-0.12949274,-0.08823786,-0.08993842,-0.026954215,0.27500415,-0.18103543,-0.07686741,-0.25813538,-0.04313818,0.16728593,-0.09221918,0.08757661,-0.03025323,-0.06615562,0.15661174,0.26749432,0.06919916,-0.25831345,-0.18403931,0.15969142,-0.15272333,-0.0254463,-0.04416343,-0.10951707,0.102315575,0.22377075
2010-07-15 02:00:00+00:00,1.27235,1.27643,1.27185,1.27529,2334.0,1.3688490000000002,1.27381,1.4079745833333333,0,0,0,1,0,1,1.27233,0,1,1,0,0,0,1.430675,0.0,2010-07-15 02:00:00+00:00,1.27643,False,False,1080.0,1.2742554849498327,0,0,0.014039642857142891,0,0,0,0,0,0,0.002323738494705485,1,0.017921075,0.071841605,-0.011682746,0.06599626,-0.14468166,0.02216718,0.054130025,-0.022292932,-0.054830905,0.003387846,0.124396816,0.040290214,-0.13427714,0.021829704,-0.059626587,-0.023501562,-0.0054061897,0.0871582,0.08181872,0.024391146,-0.026751988,-0.025829634,-0.06936252,-0.08474399,-0.08905478,0.046295553,0.06940865,-0.028700594,0.032817297,0.10842691,0.020354185,0.103227116,-0.03832217,-0.012500234,-0.10560216,0.024168558,-0.115773395,0.0041463207,0.03787667,0.06370938,-0.10159841,-0.04391341,-0.017452879,0.15633166,-0.016132755,-0.025843449,-0.096357614,0.11202016,-0.0493253,0.027088162,-0.03835049,-0.100962244,0.12329721,-0.08783076,-0.08825697,0.006086549,0.016093865,0.08752095,-0.031139985,0.030813886,-0.04323049,-0.0043394826,0.07298913,-0.012743138,0.016354278,-0.088808134,0.027181122,-0.018450651,0.03334073,0.1257347,0.059024975,-0.06233676,-0.05961541,-0.0140915075,-0.0802598,0.0015586857,-0.017667474,0.067555636,0.15295379,-0.04246179,-0.004598463,-0.12652759,-0.026772425,0.08436082,-0.021057334,0.049755275,-0.025293203,-0.044199437,0.102717094,0.049703278,0.0057035256,-0.08403751,-0.036603324,0.15575725,-0.0148137845,-0.04857802,-0.065732956,0.02209578,-0.002847677,0.019813314
2010-07-15 03:00:00+00:00,1.27527,1.27542,1.27437,1.27526,1472.0,1.337411,1.2752750000000002,1.3941733333333335,0,0,0,1,0,1,1.27233,0,1,1,0,0,0,1.27125,2.0,2010-07-15 03:00:00+00:00,1.27643,True,False,-392.0,1.2745477075098812,0,0,0.014021785714285742,0,0,1,0,0,1,-2.352433788894715e-05,0,2.5523826e-05,0.10416181,-0.0044492465,0.11702787,-0.13851906,0.021523174,0.05420188,-0.08269279,-0.109268755,0.010194139,0.124306574,0.0014879704,-0.13191536,0.014984634,-0.16946806,0.033105776,-0.042201344,0.05147598,0.06666231,-0.018508932,-0.09071998,-0.040327217,-0.087701045,-0.118521854,-0.05394299,0.007252956,0.03528201,-0.068456694,0.019113205,0.08062928,-0.042029854,0.13535394,-0.006643828,-0.047323886,-0.09013173,-0.011737121,-0.1162486,0.01268873,0.04407143,0.052683882,-0.12584351,-0.0252496,-0.0027955212,0.16669579,-0.0022047851,0.005255999,-0.09702163,0.14752322,-0.013034739,-0.028503466,-0.037789762,-0.115204506,0.120265074,-0.05778157,-0.09557687,-0.010052657,0.026647242,0.094761774,-0.04572122,0.043211237,-0.07605414,0.01706774,0.04035274,0.0128094535,0.07233997,-0.11137112,0.06181213,0.018454676,0.13247772,0.118291676,0.058750063,0.0052492823,-0.01682461,0.08446442,-0.055342697,0.033010133,-0.052929007,0.05908831,0.18822414,-0.048443798,-0.028235996,-0.11449167,0.014038501,0.027879355,-0.025524937,0.016057443,0.014336536,-0.05270777,0.07997292,0.030574897,0.07329723,-0.09122244,-0.031222492,0.13096127,0.02862086,0.00518479,-0.05214157,0.021750871,0.06540888,0.033195365
2010-07-15 04:00:00+00:00,1.27524,1.27533,1.27362,1.27431,1821.0,1.3059629999999998,1.274785,1.38037,0,0,0,1,0,1,1.27233,0,1,1,0,0,0,1.27125,0.0,2010-07-15 04:00:00+00:00,1.27533,False,False,-2213.0,1.274484800174393,0,0,0.013981428571428605,0,0,0,0,0,0,-0.0007452237388782584,0,0.006530363,0.038966767,-0.04008019,0.035505116,-0.118373215,0.013754878,0.036800843,-0.015643487,-0.028865684,-0.011995871,0.0861431,0.01865007,-0.1321793,0.02145707,-0.05542653,-0.024059935,-0.025397856,0.058196798,0.07228902,0.022782253,-0.040530074,-0.053480078,-0.030070242,-0.070447475,-0.081591815,0.049401734,0.119722545,-0.04807791,0.027062377,0.10422944,0.033557914,0.07358399,-0.03160818,-0.01913863,-0.079694554,0.055403855,-0.09425601,-0.021439355,0.05247489,0.03497664,-0.097958535,-0.025184266,-0.040809758,0.13844118,0.013485817,-0.041241102,-0.09572955,0.085438386,-0.014499746,0.0028239563,-0.05545492,-0.09748446,0.107288934,-0.05935479,-0.08417116,0.005202446,0.0035675168,0.09048443,-0.0544052,0.05066786,-0.05237431,-0.029553827,0.062208213,-0.009261183,0.01672823,-0.06335569,0.008795943,-0.0120002255,0.0064529832,0.12690379,0.040525373,-0.02647354,-0.072171696,-0.040254828,-0.055423304,0.011671591,-0.032640718,0.07073331,0.16082834,-0.024512354,-0.0062339306,-0.13298261,-0.02549931,0.084736936,-0.03050717,0.05370041,-0.022235954,-0.028351447,0.105649754,0.0079586,-0.02981062,-0.0697061,-0.05550593,0.12675597,-0.020508807,-0.020243736,-0.046431288,0.008389203,-0.007867988,-0.003170427
2010-07-15 05:00:00+00:00,1.27429,1.2754,1.27375,1.27406,1976.0,1.2742499999999999,1.2741850000000001,1.36679375,0,0,0,1,0,1,1.27233,0,1,1,0,0,0,1.27125,0.0,2010-07-15 05:00:00+00:00,1.27533,False,False,-4189.0,1.274390027097211,0,0,0.01398142857142862,0,0,0,0,0,0,-0.00019620384857931016,0,0.0069462135,0.037786834,-0.04075392,0.034835897,-0.12004842,0.013623732,0.036714118,-0.017442334,-0.030611906,-0.010580134,0.087847136,0.019542228,-0.13325816,0.022186413,-0.054188617,-0.025602514,-0.023953572,0.059289604,0.0737115,0.020885417,-0.03968523,-0.05446782,-0.029692467,-0.07055639,-0.08395335,0.04896678,0.12251719,-0.047402527,0.024192052,0.10406172,0.03654074,0.073827416,-0.033524726,-0.015886936,-0.08391875,0.05556257,-0.09435205,-0.02152162,0.050572004,0.03695099,-0.09933406,-0.025525268,-0.04184608,0.14009698,0.013985464,-0.042780943,-0.0954108,0.08803754,-0.017052859,0.0018041097,-0.056349564,-0.10039022,0.10664694,-0.061170258,-0.08609769,0.005560389,0.0050052535,0.092290685,-0.0533651,0.04728317,-0.052292522,-0.03129765,0.062290676,-0.011327155,0.018308163,-0.06479648,0.0071986318,-0.012850344,0.006685825,0.12702926,0.042694047,-0.031002894,-0.07352355,-0.041632056,-0.057342827,0.012628548,-0.031625323,0.07075064,0.16273482,-0.023783052,-0.0044950526,-0.1366055,-0.024315761,0.089564584,-0.03181081,0.054876897,-0.025141897,-0.027460448,0.1058946,0.008793194,-0.030016085,-0.06857928,-0.056173794,0.12933719,-0.019639883,-0.018831508,-0.044209287,0.009421822,-0.007135704,-0.0012217984
2010-07-15 06:00:00+00:00,1.27404,1.27428,1.27163,1.27339,2218.0,1.274462,1.273725,1.3533470833333334,0,0,0,1,0,1,1.27233,0,1,1,0,0,0,1.27125,0.0,2010-07-15 06:00:00+00:00,1.27533,False,False,-6407.0,1.2741897507900675,0,0,0.013886785714285763,0,0,0,0,0,0,-0.0005260162244193963,0,0.00817661,0.03945691,-0.04073785,0.03724105,-0.12136864,0.014041155,0.037162364,-0.016445227,-0.031263974,-0.010302883,0.08746721,0.019052047,-0.13455045,0.022355966,-0.055427745,-0.024642212,-0.025293075,0.057565168,0.07365862,0.021468787,-0.04119238,-0.052769985,-0.030577825,-0.07099057,-0.081924215,0.049977906,0.12079578,-0.04833325,0.025334526,0.105169445,0.03420478,0.07462383,-0.032341294,-0.017671844,-0.08340143,0.05477543,-0.09419065,-0.0216069,0.051831678,0.03846561,-0.09888944,-0.026225857,-0.042433664,0.13991436,0.01334683,-0.043756478,-0.09587624,0.088339,-0.016378436,0.0014350135,-0.056814004,-0.10051375,0.10807906,-0.062782414,-0.08488099,0.005972756,0.005028017,0.09198331,-0.053945992,0.04831764,-0.053204753,-0.030060494,0.06245678,-0.010945126,0.018086918,-0.06494538,0.008922879,-0.011523157,0.0070767794,0.12876989,0.040323347,-0.0285764,-0.073630325,-0.03966462,-0.056501128,0.0133115,-0.032759234,0.07143402,0.1622638,-0.023591535,-0.005480252,-0.13668151,-0.026380835,0.08782813,-0.03147993,0.05454009,-0.02320644,-0.0294397,0.105969585,0.009267278,-0.030527892,-0.06832846,-0.054861546,0.12985326,-0.018199015,-0.02014715,-0.045617424,0.009512519,-0.006557014,-0.0015525874
2010-07-15 07:00:00+00:00,1.27342,1.27446,1.27185,1.27392,2523.0,1.274188,1.273655,1.3400779166666668,0,0,0,1,0,1,1.27233,0,1,1,0,0,0,1.27125,0.0,2010-07-15 07:00:00+00:00,1.27533,False,True,-3884.0,1.274139700691278,0,0,0.013785714285714337,0,0,0,0,0,0,0.0004161252518521904,1,0.0141615085,0.057714216,-0.0046653543,0.062923536,-0.13150465,0.027047677,0.04880784,-0.010846424,-0.05150296,-0.0031704549,0.11875725,0.035048865,-0.13559023,0.014406802,-0.07246264,-0.025204116,-0.010277655,0.08487642,0.07523579,0.022633327,-0.036543086,-0.021671623,-0.084050946,-0.086627096,-0.089561254,0.04641965,0.075913034,-0.037911516,0.038460415,0.1001231,0.024280077,0.10285565,-0.044642136,-0.010826147,-0.09104964,0.04094933,-0.112072796,0.0052167997,0.04289134,0.04872203,-0.087670356,-0.039036825,-0.018027658,0.15445973,-0.008651869,-0.019029345,-0.094195515,0.10432664,-0.042504136,0.029500155,-0.047009792,-0.110503025,0.11279731,-0.07523933,-0.08870858,0.00855493,0.0016879123,0.08624483,-0.035620965,0.036640894,-0.055236265,0.0014339648,0.06672076,-0.01683085,0.021537941,-0.078623615,0.03409141,-0.032261953,0.020403728,0.12036654,0.05296648,-0.05986089,-0.060602367,-0.026364852,-0.08004739,0.0039850976,-0.012704158,0.07117818,0.16185494,-0.048217386,-0.014258195,-0.122715674,-0.031419475,0.08477595,-0.03406887,0.048411362,-0.026349409,-0.027850645,0.09120587,0.05377023,-0.0077337455,-0.08121412,-0.042600796,0.14138168,-0.016065568,-0.043209873,-0.052580692,0.019280154,-0.010675306,0.015563311
2010-07-15 08:00:00+00:00,1.27394,1.27977,1.27359,1.27879,3486.0,1.2748940000000002,1.2763550000000001,1.3272208333333333,0,0,1,0,0,1,1.27879,1,0,0,1,1,0,1.27125,0.0,2010-07-15 08:00:00+00:00,1.27977,False,False,-398.0,1.2750885969328027,0,0,0.01377357142857148,0,0,0,0,0,0,0.0038155575120675314,1,0.014979126,0.12666044,-0.040603433,0.13447122,-0.20775887,0.044888925,0.072777696,-0.19676363,-0.19393595,0.06020079,0.32794046,0.056649715,-0.27938044,0.06926836,-0.076474585,0.045958247,-0.04664878,0.019654173,0.16352205,-0.030305376,-0.06130567,-0.044774704,-0.14147814,-0.26165023,-0.108775705,0.031834826,0.05639469,-0.06637719,-0.02259664,0.053836763,-0.031770643,0.14579792,-0.06088981,-0.07989836,-0.2756045,-0.03990905,-0.105779365,-0.016582347,-0.05671788,0.22305287,-0.19824101,-0.062198676,0.033573437,0.23477238,-0.06747793,-0.0741806,-0.09096516,0.3490113,-0.23499238,-0.08647011,-0.04988275,-0.2649781,0.13279209,-0.1730819,-0.18055403,0.07793348,0.07635297,0.10376176,0.034726772,-0.008877005,-0.10491502,-0.046930425,0.16040798,-0.036021817,0.2203939,-0.29914907,0.10116731,0.018847544,0.14719717,0.22997637,0.12845911,-0.1342735,0.018717583,0.07766511,-0.13495857,0.050435692,0.04099404,0.052953206,0.2339387,-0.06870978,0.019313289,-0.25894892,-0.01155397,0.12309347,-0.09312117,0.1025687,-0.011578223,-0.06648315,0.14918971,0.108077586,0.080599844,-0.020427234,-0.070301235,0.3385214,0.06554791,-0.025760995,-0.05518029,0.04704759,0.0759416,0.069000736
2010-07-15 09:00:00+00:00,1.27877,1.28028,1.27737,1.27926,2115.0,1.275884,1.279025,1.31443625,0,0,1,0,0,1,1.27977,1,0,0,0,0,0,1.27125,0.0,2010-07-15 09:00:00+00:00,1.27977,False,False,1717.0,1.2755481269857807,0,0,0.013751071428571491,0,0,0,0,0,0,0.00036746741094886474,1,0.0074706823,0.03219078,0.020511411,0.020666376,-0.12843245,0.038400955,0.06551374,-0.051830564,-0.109595604,0.06989172,0.20594363,0.085641466,-0.15389049,0.05418954,-0.029241472,0.002933452,0.032666218,0.15465827,0.08551478,0.007970253,0.031855058,-0.042821348,-0.1615883,-0.13687705,-0.14783193,0.076300174,0.09361915,-0.042150743,0.04024025,0.09693744,0.07485907,0.121009104,-0.052860137,0.029717267,-0.13114533,0.001105329,-0.081735335,0.07435323,-0.006873319,0.0814269,-0.068160325,-0.08060327,-0.031250224,0.14204739,-0.042347353,0.009490555,-0.07512483,0.12442256,-0.17244288,0.023198918,-0.022652905,-0.1724911,0.07639938,-0.05843167,-0.14274019,0.07889891,-0.007933959,0.13140647,-0.012649246,-0.014899887,-0.065579146,-0.040483184,0.07671176,-0.08277973,0.08851291,-0.14689691,0.0069123395,-0.058123574,0.013576122,0.08300165,0.12924886,-0.15448038,-0.07988867,-0.050448377,-0.1386192,-0.02609799,0.08888157,0.070709184,0.16626093,-0.044703968,0.022268808,-0.15386692,-0.04861226,0.1435542,-0.0828411,0.08428967,-0.10812782,-0.014954876,0.08362287,0.08272983,0.03855872,-0.029178642,-0.07049281,0.18727994,-0.037431866,-0.0673587,-0.014472694,-0.0016728267,-0.05469047,0.07651267
2010-07-15 10:00:00+00:00,1.27928,1.28347,1.27819,1.28145,3115.0,1.277362,1.2803550000000001,1.3018529166666668,0,0,1,0,0,1,1.27977,1,0,0,0,0,0,1.27125,0.0,2010-07-15 10:00:00+00:00,1.27977,False,False,4832.0,1.2763720193600432,0,0,0.01394785714285721,0,0,0,0,0,0,0.0017104635307687006,1,0.004910527,0.03503261,0.022358712,0.02462038,-0.12514113,0.038696766,0.06743398,-0.05494856,-0.116580784,0.07657359,0.20954448,0.08942833,-0.15560085,0.058350787,-0.025753763,0.008465786,0.03156031,0.15954138,0.084825225,0.0070691984,0.033477057,-0.03903917,-0.16905637,-0.1424754,-0.14944749,0.07842229,0.08913449,-0.042499658,0.04197139,0.09760002,0.07062698,0.12207459,-0.050702035,0.028279219,-0.13476807,-0.0028890762,-0.0778233,0.07992801,-0.010168919,0.08765825,-0.066094086,-0.08810982,-0.030883009,0.14142714,-0.046825718,0.01321658,-0.07302534,0.12978384,-0.17905666,0.022385659,-0.019406967,-0.17500311,0.07595221,-0.061893143,-0.14581609,0.08230852,-0.0054987837,0.12881128,-0.010854516,-0.015206907,-0.067147,-0.040781938,0.07793825,-0.084426686,0.09070404,-0.1525293,0.007264998,-0.05630981,0.013730001,0.08180456,0.13310611,-0.1583235,-0.08008442,-0.04660026,-0.14205585,-0.029306535,0.09192683,0.071229815,0.16349031,-0.04189162,0.02418969,-0.15550645,-0.053410728,0.14672899,-0.08262439,0.08802056,-0.11050905,-0.017653767,0.08066755,0.089957654,0.04576328,-0.026933042,-0.06908356,0.19134924,-0.034044366,-0.07096057,-0.0151284775,-0.0025070477,-0.060221575,0.08096688
