Time,Open,High,Low,Close,Volume,average,barCount
2016-12-29 17:15:00-05:00,1.048825,1.049285,1.048705,1.049255,-1.0,-1.0,-1
2016-12-29 18:00:00-05:00,1.049255,1.0654,1.048515,1.056675,-1.0,-1.0,-1
2016-12-29 19:00:00-05:00,1.056675,1.058055,1.05428,1.05519,-1.0,-1.0,-1
2016-12-29 20:00:00-05:00,1.05519,1.057255,1.054395,1.054525,-1.0,-1.0,-1
2016-12-29 21:00:00-05:00,1.054525,1.054755,1.053005,1.05342,-1.0,-1.0,-1
2016-12-29 22:00:00-05:00,1.05342,1.053765,1.05206,1.052985,-1.0,-1.0,-1
2016-12-29 23:00:00-05:00,1.052985,1.053355,1.05219,1.052925,-1.0,-1.0,-1
2016-12-30 00:00:00-05:00,1.052925,1.053965,1.05283,1.053645,-1.0,-1.0,-1
2016-12-30 01:00:00-05:00,1.053645,1.054685,1.05223,1.052635,-1.0,-1.0,-1
2016-12-30 02:00:00-05:00,1.052635,1.05364,1.0506,1.05071,-1.0,-1.0,-1
2016-12-30 03:00:00-05:00,1.05071,1.05286,1.05067,1.052185,-1.0,-1.0,-1
2016-12-30 04:00:00-05:00,1.052185,1.059145,1.0521,1.058925,-1.0,-1.0,-1
2016-12-30 05:00:00-05:00,1.058925,1.05908,1.054405,1.05475,-1.0,-1.0,-1
2016-12-30 06:00:00-05:00,1.05475,1.056165,1.053985,1.05597,-1.0,-1.0,-1
2016-12-30 07:00:00-05:00,1.05597,1.057125,1.053595,1.0538,-1.0,-1.0,-1
2016-12-30 08:00:00-05:00,1.0538,1.055415,1.053505,1.054355,-1.0,-1.0,-1
2016-12-30 09:00:00-05:00,1.054355,1.055295,1.052535,1.055025,-1.0,-1.0,-1
2016-12-30 10:00:00-05:00,1.055025,1.05775,1.053815,1.054735,-1.0,-1.0,-1
2016-12-30 11:00:00-05:00,1.054735,1.05647,1.05432,1.055175,-1.0,-1.0,-1
2016-12-30 12:00:00-05:00,1.055175,1.05543,1.0529,1.054655,-1.0,-1.0,-1
2016-12-30 13:00:00-05:00,1.054655,1.054805,1.052575,1.05273,-1.0,-1.0,-1
2016-12-30 14:00:00-05:00,1.05273,1.053635,1.052315,1.05343,-1.0,-1.0,-1
2016-12-30 15:00:00-05:00,1.05343,1.053775,1.05237,1.05249,-1.0,-1.0,-1
2017-01-02 02:00:00-05:00,1.051545,1.052445,1.05126,1.05155,-1.0,-1.0,-1
2017-01-02 03:00:00-05:00,1.05155,1.05189,1.04881,1.048965,-1.0,-1.0,-1
2017-01-02 04:00:00-05:00,1.048965,1.049325,1.047735,1.048735,-1.0,-1.0,-1
2017-01-02 05:00:00-05:00,1.048735,1.04897,1.047875,1.04811,-1.0,-1.0,-1
2017-01-02 06:00:00-05:00,1.04811,1.04822,1.0477,1.0479,-1.0,-1.0,-1
2017-01-02 07:00:00-05:00,1.0479,1.0479,1.04652,1.04663,-1.0,-1.0,-1
2017-01-02 08:00:00-05:00,1.04663,1.046965,1.046155,1.046665,-1.0,-1.0,-1
2017-01-02 09:00:00-05:00,1.046665,1.047595,1.046515,1.047375,-1.0,-1.0,-1
2017-01-02 10:00:00-05:00,1.047375,1.047455,1.04644,1.047175,-1.0,-1.0,-1
2017-01-02 18:00:00-05:00,1.046195,1.047225,1.04565,1.045765,-1.0,-1.0,-1
2017-01-02 19:00:00-05:00,1.045765,1.047135,1.04573,1.046635,-1.0,-1.0,-1
2017-01-02 20:00:00-05:00,1.046635,1.04809,1.046455,1.047585,-1.0,-1.0,-1
2017-01-02 21:00:00-05:00,1.047585,1.047815,1.047085,1.0472,-1.0,-1.0,-1
2017-01-02 22:00:00-05:00,1.0472,1.04848,1.04713,1.04848,-1.0,-1.0,-1
2017-01-02 23:00:00-05:00,1.04848,1.048995,1.048185,1.048825,-1.0,-1.0,-1
2017-01-03 00:00:00-05:00,1.048825,1.04903,1.04815,1.048225,-1.0,-1.0,-1
2017-01-03 01:00:00-05:00,1.048225,1.048975,1.048115,1.04882,-1.0,-1.0,-1
2017-01-03 02:00:00-05:00,1.04882,1.04888,1.045355,1.04603,-1.0,-1.0,-1
2017-01-03 03:00:00-05:00,1.04603,1.046595,1.042045,1.043535,-1.0,-1.0,-1
2017-01-03 04:00:00-05:00,1.043535,1.04364,1.040015,1.04016,-1.0,-1.0,-1
2017-01-03 05:00:00-05:00,1.04016,1.041665,1.039605,1.039635,-1.0,-1.0,-1
2017-01-03 06:00:00-05:00,1.039635,1.039965,1.038125,1.039425,-1.0,-1.0,-1
2017-01-03 07:00:00-05:00,1.039425,1.03943,1.03752,1.038905,-1.0,-1.0,-1
2017-01-03 08:00:00-05:00,1.038905,1.03919,1.038185,1.039155,-1.0,-1.0,-1
2017-01-03 09:00:00-05:00,1.039155,1.04081,1.03849,1.038955,-1.0,-1.0,-1
2017-01-03 10:00:00-05:00,1.038955,1.03906,1.03402,1.03845,-1.0,-1.0,-1
2017-01-03 11:00:00-05:00,1.03845,1.043385,1.03786,1.041535,-1.0,-1.0,-1
2017-01-03 12:00:00-05:00,1.041535,1.042845,1.041,1.04271,-1.0,-1.0,-1
2017-01-03 13:00:00-05:00,1.04271,1.04319,1.04134,1.041495,-1.0,-1.0,-1
2017-01-03 14:00:00-05:00,1.041495,1.041505,1.040525,1.041065,-1.0,-1.0,-1
2017-01-03 15:00:00-05:00,1.041065,1.04174,1.040205,1.04021,-1.0,-1.0,-1
2017-01-03 16:00:00-05:00,1.04021,1.0407,1.040185,1.040615,-1.0,-1.0,-1
2017-01-03 17:15:00-05:00,1.0409,1.04129,1.04043,1.04097,-1.0,-1.0,-1
2017-01-03 18:00:00-05:00,1.04097,1.04242,1.040955,1.04176,-1.0,-1.0,-1
2017-01-03 19:00:00-05:00,1.04176,1.04181,1.03922,1.039465,-1.0,-1.0,-1
2017-01-03 20:00:00-05:00,1.039465,1.04023,1.039005,1.039355,-1.0,-1.0,-1
2017-01-03 21:00:00-05:00,1.039355,1.040635,1.039325,1.040565,-1.0,-1.0,-1
2017-01-03 22:00:00-05:00,1.040565,1.040815,1.039775,1.04054,-1.0,-1.0,-1
2017-01-03 23:00:00-05:00,1.04054,1.040955,1.040245,1.04026,-1.0,-1.0,-1
2017-01-04 00:00:00-05:00,1.04026,1.04094,1.04016,1.040675,-1.0,-1.0,-1
2017-01-04 01:00:00-05:00,1.040675,1.041475,1.039925,1.040625,-1.0,-1.0,-1
2017-01-04 02:00:00-05:00,1.040625,1.042155,1.04057,1.04176,-1.0,-1.0,-1
2017-01-04 03:00:00-05:00,1.04176,1.044025,1.041535,1.043365,-1.0,-1.0,-1
2017-01-04 04:00:00-05:00,1.043365,1.04455,1.04282,1.04381,-1.0,-1.0,-1
2017-01-04 05:00:00-05:00,1.04381,1.0444,1.042705,1.043255,-1.0,-1.0,-1
2017-01-04 06:00:00-05:00,1.043255,1.04453,1.042755,1.043155,-1.0,-1.0,-1
2017-01-04 07:00:00-05:00,1.043155,1.04416,1.04235,1.043385,-1.0,-1.0,-1
2017-01-04 08:00:00-05:00,1.043385,1.044635,1.042795,1.043925,-1.0,-1.0,-1
2017-01-04 09:00:00-05:00,1.043925,1.046365,1.04368,1.04622,-1.0,-1.0,-1
2017-01-04 10:00:00-05:00,1.04622,1.048125,1.045365,1.047625,-1.0,-1.0,-1
2017-01-04 11:00:00-05:00,1.047625,1.04917,1.047155,1.047545,-1.0,-1.0,-1
2017-01-04 12:00:00-05:00,1.047545,1.048395,1.046925,1.047185,-1.0,-1.0,-1
2017-01-04 13:00:00-05:00,1.047185,1.04826,1.046755,1.047825,-1.0,-1.0,-1
