Time,Open,High,Low,Close,Volume,average,barCount
2005-03-09 09:00:00-05:00,1.3339,1.3359,1.3334,1.3353,-1.0,-1.0,-1
2005-03-09 10:00:00-05:00,1.3353,1.3375,1.33455,1.336,-1.0,-1.0,-1
2005-03-09 11:00:00-05:00,1.336,1.3388,1.3359,1.3382,-1.0,-1.0,-1
2005-03-09 12:00:00-05:00,1.3382,1.342,1.3378,1.3407,-1.0,-1.0,-1
2005-03-09 13:00:00-05:00,1.3407,1.3418,1.3404,1.3412,-1.0,-1.0,-1
2005-03-09 14:00:00-05:00,1.3412,1.3423,1.3397,1.34,-1.0,-1.0,-1
2005-03-09 15:00:00-05:00,1.34,1.3409,1.3383,1.3387,-1.0,-1.0,-1
2005-03-09 16:00:00-05:00,1.3387,1.3394,1.3383,1.3393,-1.0,-1.0,-1
2005-03-09 19:00:00-05:00,1.3373,1.3388,1.3372,1.3387,-1.0,-1.0,-1
2005-03-09 20:00:00-05:00,1.3387,1.3411,1.3383,1.3411,-1.0,-1.0,-1
2005-03-09 21:00:00-05:00,1.3411,1.3456,1.3388,1.34175,-1.0,-1.0,-1
2005-03-09 22:00:00-05:00,1.34175,1.34355,1.34065,1.34295,-1.0,-1.0,-1
2005-03-09 23:00:00-05:00,1.34295,1.3446,1.3427,1.34325,-1.0,-1.0,-1
2005-03-10 00:00:00-05:00,1.34325,1.34325,1.3416,1.3424,-1.0,-1.0,-1
2005-03-10 01:00:00-05:00,1.3424,1.3433,1.3422,1.3426,-1.0,-1.0,-1
2005-03-10 02:00:00-05:00,1.3426,1.3454,1.3422,1.3442,-1.0,-1.0,-1
2005-03-10 03:00:00-05:00,1.3442,1.345,1.343,1.3434,-1.0,-1.0,-1
2005-03-10 04:00:00-05:00,1.3434,1.3448,1.3422,1.3427,-1.0,-1.0,-1
2005-03-10 05:00:00-05:00,1.3427,1.3431,1.34,1.3405,-1.0,-1.0,-1
2005-03-10 06:00:00-05:00,1.3405,1.3429,1.3404,1.3418,-1.0,-1.0,-1
2005-03-10 07:00:00-05:00,1.3418,1.3428,1.3411,1.3414,-1.0,-1.0,-1
2005-03-10 08:00:00-05:00,1.3414,1.3434,1.3406,1.3433,-1.0,-1.0,-1
2005-03-10 09:00:00-05:00,1.3433,1.3434,1.3404,1.3417,-1.0,-1.0,-1
2005-03-10 10:00:00-05:00,1.3417,1.3427,1.3398,1.3409,-1.0,-1.0,-1
2005-03-10 11:00:00-05:00,1.3409,1.3418,1.3405,1.34085,-1.0,-1.0,-1
2005-03-10 12:00:00-05:00,1.34085,1.3419,1.3401,1.3418,-1.0,-1.0,-1
2005-03-10 13:00:00-05:00,1.3418,1.3448,1.3417,1.3448,-1.0,-1.0,-1
2005-03-10 14:00:00-05:00,1.3448,1.345,1.3424,1.3426,-1.0,-1.0,-1
2005-03-10 15:00:00-05:00,1.3426,1.3434,1.3425,1.3433,-1.0,-1.0,-1
2005-03-10 16:00:00-05:00,1.3433,1.3433,1.3416,1.3419,-1.0,-1.0,-1
2005-03-10 19:00:00-05:00,1.3422,1.3428,1.3418,1.3427,-1.0,-1.0,-1
2005-03-10 20:00:00-05:00,1.3427,1.3432,1.3424,1.3429,-1.0,-1.0,-1
2005-03-10 21:00:00-05:00,1.3429,1.3434,1.3421,1.3426,-1.0,-1.0,-1
2005-03-10 22:00:00-05:00,1.3426,1.3429,1.3422,1.3427,-1.0,-1.0,-1
2005-03-10 23:00:00-05:00,1.3427,1.3428,1.3422,1.3426,-1.0,-1.0,-1
2005-03-11 00:00:00-05:00,1.3426,1.3434,1.3425,1.3428,-1.0,-1.0,-1
2005-03-11 01:00:00-05:00,1.3428,1.3433,1.3419,1.3427,-1.0,-1.0,-1
