Close,Low,Open,High,Time,returns,SMA_S,SMA_C,SMA_L,up_sma1,down_sma1,atr,volume,peak,crust,t_dir
1.3459,1.3453,1.3463,1.3464,2005-03-11 19:00:00+00:00,-0.0002971105994206136,1.3439050000000001,1.3431775,1.3420169999999998,1,0,0.002307142857142857,0,0.0,0.0,1
1.3451,1.3448,1.3459,1.3461,2005-03-11 20:00:00+00:00,-0.0005943978007282302,1.344285,1.3432974999999998,1.3422129999999999,1,0,0.0023000000000000164,0,0.0,1.0,1
1.3458,1.3449,1.3451,1.3458,2005-03-11 21:00:00+00:00,0.0005204074046540885,1.344765,1.3434424999999999,1.3424090000000002,1,0,0.002292857142857176,0,0.0,0.0,1
1.3464,1.3462,1.3475,1.3477,2005-03-14 00:00:00+00:00,0.00044583147570209647,1.3452549999999999,1.3436325,1.3425729999999998,1,0,0.0022857142857143037,0,1.0,0.0,1
1.3455,1.3444,1.3464,1.3464,2005-03-14 01:00:00+00:00,-0.0006684491978610207,1.34571,1.3437725,1.342669,1,0,0.0023071428571428726,0,0.0,1.0,1
1.3457,1.3444,1.3455,1.3458,2005-03-14 02:00:00+00:00,0.00014864362690447663,1.3459999999999999,1.3439275,1.342759,1,0,0.00229285714285716,0,0.0,1.0,1
1.3452,1.3446,1.3457,1.346,2005-03-14 03:00:00+00:00,-0.0003715538381511285,1.34591,1.3440474999999998,1.342863,0,1,0.002314285714285729,0,0.0,0.0,1
1.3452,1.3447,1.3452,1.3456,2005-03-14 04:00:00+00:00,0.0,1.34574,1.3441724999999998,1.342993,0,1,0.0023214285714285693,0,0.0,0.0,1
1.3442,1.344,1.3452,1.3455,2005-03-14 05:00:00+00:00,-0.0007433838834373097,1.3455300000000001,1.3442525,1.343091,0,1,0.001821428571428561,0,0.0,0.0,1
1.3431,1.3427,1.3442,1.3443,2005-03-14 06:00:00+00:00,-0.0008183306055646877,1.34521,1.3443275,1.343179,0,1,0.001592857142857142,0,0.0,0.0,0
1.3421,1.3417,1.3431,1.3432,2005-03-14 07:00:00+00:00,-0.0007445461990915891,1.3448300000000002,1.3443675000000002,1.3431989999999998,0,1,0.0013964285714285682,0,0.0,0.0,0
1.3405,1.3396,1.3421,1.3422,2005-03-14 08:00:00+00:00,-0.0011921615378883699,1.34437,1.3443275,1.3431739999999999,0,1,0.001414285714285717,0,0.0,0.0,0
1.3404,1.3399,1.3405,1.3416,2005-03-14 09:00:00+00:00,-7.45990302125632e-05,1.34383,1.3442975000000001,1.3431230000000003,0,1,0.0014428571428571426,0,0.0,0.0,0
1.3407,1.3394,1.3404,1.3412,2005-03-14 10:00:00+00:00,0.00022381378692926113,1.34326,1.3442574999999999,1.343072,0,1,0.0015428571428571475,0,0.0,0.0,0
1.3404,1.3404,1.3407,1.3424,2005-03-14 11:00:00+00:00,-0.0002237637055269026,1.34275,1.34423,1.343032,0,1,0.0016071428571428545,0,1.0,0.0,0
1.3388,1.3372,1.3404,1.3413,2005-03-14 12:00:00+00:00,-0.0011936735302895407,1.34206,1.34403,1.342956,0,1,0.0018071428571428485,0,0.0,0.0,0
1.3395,1.3368,1.3388,1.3397,2005-03-14 13:00:00+00:00,0.0005228562892141131,1.3414899999999998,1.3437,1.342862,0,1,0.0019499999999999756,0,0.0,0.0,0
1.3379,1.3371,1.3395,1.34,2005-03-14 14:00:00+00:00,-0.0011944755505783888,1.34076,1.34325,1.3427520000000002,0,1,0.0020214285714285707,0,0.0,0.0,0
1.3372,1.3365,1.3379,1.3393,2005-03-14 15:00:00+00:00,-0.0005232080125571192,1.3400599999999998,1.342795,1.342642,0,1,0.002078571428571422,0,0.0,0.0,0
1.33475,1.3339,1.3372,1.3378,2005-03-14 16:00:00+00:00,-0.0018321866586896718,1.339225,1.3422174999999998,1.342527,0,1,0.0022571428571428465,0,0.0,0.0,0
1.3352,1.3336,1.33475,1.3357,2005-03-14 17:00:00+00:00,0.0003371417868514026,1.3385349999999998,1.3416825,1.342395,0,1,0.002307142857142857,0,0.0,1.0,0
1.3355,1.33405,1.3352,1.3359,2005-03-14 18:00:00+00:00,0.00022468544038334315,1.338035,1.3412025,1.342277,0,1,0.002375000000000016,0,0.0,0.0,0
