Time,Open,High,Low,Close,Volume,average,barCount
2025-10-29 17:15:00-04:00,1.16035,1.16047,1.1602,1.160305,-1.0,-1.0,-1
2025-10-29 18:00:00-04:00,1.160305,1.16056,1.160125,1.160395,-1.0,-1.0,-1
2025-10-29 19:00:00-04:00,1.160395,1.160535,1.16015,1.1603,-1.0,-1.0,-1
2025-10-29 20:00:00-04:00,1.1603,1.161555,1.15969,1.16121,-1.0,-1.0,-1
2025-10-29 21:00:00-04:00,1.16121,1.161525,1.160875,1.161385,-1.0,-1.0,-1
2025-10-29 22:00:00-04:00,1.161385,1.16199,1.16123,1.161735,-1.0,-1.0,-1
2025-10-29 23:00:00-04:00,1.161735,1.162,1.16069,1.161555,-1.0,-1.0,-1
2025-10-30 00:00:00-04:00,1.161555,1.163755,1.16136,1.16322,-1.0,-1.0,-1
2025-10-30 01:00:00-04:00,1.16322,1.163405,1.162365,1.16241,-1.0,-1.0,-1
2025-10-30 02:00:00-04:00,1.16241,1.162975,1.16182,1.161975,-1.0,-1.0,-1
2025-10-30 03:00:00-04:00,1.161975,1.16227,1.16096,1.16186,-1.0,-1.0,-1
2025-10-30 04:00:00-04:00,1.16186,1.16203,1.160665,1.16174,-1.0,-1.0,-1
2025-10-30 05:00:00-04:00,1.16174,1.16284,1.161435,1.16166,-1.0,-1.0,-1
2025-10-30 06:00:00-04:00,1.16166,1.161995,1.1606,1.16068,-1.0,-1.0,-1
2025-10-30 07:00:00-04:00,1.16068,1.16112,1.159625,1.159795,-1.0,-1.0,-1
2025-10-30 08:00:00-04:00,1.159795,1.15992,1.15532,1.155515,-1.0,-1.0,-1
2025-10-30 09:00:00-04:00,1.155515,1.157965,1.15471,1.157965,-1.0,-1.0,-1
2025-10-30 10:00:00-04:00,1.157965,1.158635,1.156785,1.15731,-1.0,-1.0,-1
2025-10-30 11:00:00-04:00,1.15731,1.157735,1.156065,1.15636,-1.0,-1.0,-1
2025-10-30 12:00:00-04:00,1.15636,1.15715,1.155945,1.156915,-1.0,-1.0,-1
2025-10-30 13:00:00-04:00,1.156915,1.156985,1.15604,1.15664,-1.0,-1.0,-1
2025-10-30 14:00:00-04:00,1.15664,1.157045,1.156435,1.1568,-1.0,-1.0,-1
2025-10-30 15:00:00-04:00,1.1568,1.157165,1.15618,1.15642,-1.0,-1.0,-1
2025-10-30 16:00:00-04:00,1.15642,1.15724,1.156355,1.15646,-1.0,-1.0,-1
2025-10-30 17:15:00-04:00,1.15668,1.15699,1.15641,1.15691,-1.0,-1.0,-1
2025-10-30 18:00:00-04:00,1.15691,1.156985,1.15661,1.156825,-1.0,-1.0,-1
2025-10-30 19:00:00-04:00,1.156825,1.157335,1.1566,1.15717,-1.0,-1.0,-1
2025-10-30 20:00:00-04:00,1.15717,1.15771,1.15702,1.157395,-1.0,-1.0,-1
2025-10-30 21:00:00-04:00,1.157395,1.157755,1.156665,1.15677,-1.0,-1.0,-1
2025-10-30 22:00:00-04:00,1.15677,1.15746,1.15651,1.156815,-1.0,-1.0,-1
2025-10-30 23:00:00-04:00,1.156815,1.1571,1.156615,1.15673,-1.0,-1.0,-1
2025-10-31 00:00:00-04:00,1.15673,1.15734,1.156635,1.15721,-1.0,-1.0,-1
2025-10-31 01:00:00-04:00,1.15721,1.15721,1.156635,1.156815,-1.0,-1.0,-1
2025-10-31 02:00:00-04:00,1.156815,1.15734,1.15609,1.15614,-1.0,-1.0,-1
2025-10-31 03:00:00-04:00,1.15614,1.15659,1.155495,1.15649,-1.0,-1.0,-1
2025-10-31 04:00:00-04:00,1.15649,1.157135,1.15598,1.15708,-1.0,-1.0,-1
2025-10-31 05:00:00-04:00,1.15708,1.157685,1.15656,1.15761,-1.0,-1.0,-1
2025-10-31 06:00:00-04:00,1.15761,1.15763,1.15673,1.157095,-1.0,-1.0,-1
2025-10-31 07:00:00-04:00,1.157095,1.157435,1.155805,1.156685,-1.0,-1.0,-1
2025-10-31 08:00:00-04:00,1.156685,1.156685,1.155345,1.155595,-1.0,-1.0,-1
2025-10-31 09:00:00-04:00,1.155595,1.15563,1.15301,1.153885,-1.0,-1.0,-1
