Time,Open,High,Low,Close,volume,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,Ren_Value,Blue,Red,Increase,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,EndTime_fr,HI_Value,BearWarning,BullWarning,OBV,VWAP,peak,crust,atr,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,returns,t_dir
2022-07-15 17:00:00,1.00806,1.00931,1.00743,1.00759,3819,1.0073919999999998,1.007815,1.0055783333333332,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,1.0,2022-07-15 17:00:00,1.00893,False,False,26062.0,1.0051947007263837,0,0,0.002320000000000005,1,0,0,0,0,0,-0.00044651052770244994,0
2022-07-15 18:00:00,1.00758,1.00818,1.00718,1.00794,2638,1.008098,1.007765,1.0061108333333333,0,1,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,0.0,2022-07-15 18:00:00,1.00893,False,True,28700.0,1.0052582982067901,0,0,0.0023121428571428737,0,0,0,0,1,0,0.0003473031942149957,1
2022-07-15 19:00:00,1.00797,1.00827,1.00721,1.00817,2706,1.008134,1.0080550000000001,1.0065591666666667,0,1,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,0.0,2022-07-15 19:00:00,1.00827,False,False,31406.0,1.0053258832561334,0,0,0.00229285714285716,0,0,0,0,0,0,0.0002281621548404386,1
2022-07-15 20:00:00,1.00813,1.00871,1.00786,1.00868,1222,1.008084,1.008425,1.00703,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,0.0,2022-07-15 20:00:00,1.00827,False,False,32628.0,1.0053606766438603,0,0,0.002235714285714309,0,0,0,0,0,0,0.0005057391584603332,1
2022-07-17 21:00:00,1.00817,1.00832,1.00795,1.00826,119,1.008128,1.00847,1.00736,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,0.0,2022-07-17 21:00:00,1.00832,False,True,32509.0,1.005363602496587,0,0,0.0020821428571428896,0,0,0,0,1,0,-0.00041647248413028467,0
2022-07-17 22:00:00,1.0082,1.00874,1.00767,1.0084,1473,1.0082900000000001,1.00833,1.0075766666666668,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,0.0,2022-07-17 22:00:00,1.00874,False,False,33982.0,1.0054010634537753,0,0,0.0020421428571428812,0,0,0,0,0,0,0.00013884343441619612,1
2022-07-17 23:00:00,1.00838,1.00972,1.00794,1.00967,2221,1.0086359999999999,1.009035,1.0079375,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,0.0,2022-07-17 23:00:00,1.00874,False,False,36203.0,1.0054790251202568,0,0,0.0020228571428571674,0,0,0,0,0,0,0.0012586284595236868,1
2022-07-18 00:00:00,1.00967,1.0098,1.00858,1.00909,3424,1.00882,1.0093800000000002,1.0080975,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,0.0,2022-07-18 00:00:00,1.00874,True,False,32779.0,1.0055779060932992,0,0,0.0019457142857142967,0,0,0,0,0,0,-0.0005746101725401428,0
2022-07-18 01:00:00,1.00909,1.01107,1.00909,1.01081,4722,1.0092459999999999,1.00995,1.0086308333333334,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,0.0,2022-07-18 01:00:00,1.00874,False,False,37501.0,1.0057683018780683,0,0,0.0019635714285714295,0,0,0,0,0,0,0.001703055018291464,1
2022-07-18 02:00:00,1.01078,1.01136,1.01003,1.01009,2593,1.009612,1.01045,1.0088058333333334,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,0.0,2022-07-18 02:00:00,1.00874,True,False,34908.0,1.0058529699895737,0,0,0.001822857142857142,0,0,0,0,0,0,-0.0007125538428067269,0
2022-07-18 03:00:00,1.01009,1.01097,1.01007,1.01037,3128,1.010006,1.01023,1.0089258333333333,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.00973,0.0,2022-07-18 03:00:00,1.01097,False,True,38036.0,1.0059572588978614,0,0,0.0015742857142857028,0,0,0,0,1,0,0.00027716460785420685,1
2022-07-18 04:00:00,1.01036,1.01043,1.00863,1.00909,2433,1.00989,1.00973,1.0090133333333335,0,1,0,0,1,0,1.00973,1,0,0,0,0,0,1.01136,1.0,2022-07-18 04:00:00,1.01097,False,False,35603.0,1.0060125245259766,0,0,0.0013935714285714226,1,0,0,0,0,0,-0.0012676657833388927,0
2022-07-18 05:00:00,1.0091,1.0105,1.0087,1.00873,2988,1.0098179999999999,1.00891,1.0091083333333335,0,1,0,0,0,0,1.00973,1,0,0,0,0,0,1.01136,0.0,2022-07-18 05:00:00,1.01097,False,False,32615.0,1.006070151522679,0,1,0.0013735714285714185,0,0,0,0,0,0,-0.0003568207311055821,0
2022-07-18 06:00:00,1.00872,1.01112,1.00805,1.01103,7186,1.009862,1.0098799999999999,1.0093658333333335,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.01136,0.0,2022-07-18 06:00:00,1.01112,False,False,39801.0,1.0063108275428967,0,0,0.0014621428571428563,0,0,0,0,0,0,0.002277499301081058,1
2022-07-18 07:00:00,1.01104,1.01485,1.01027,1.01452,12102,1.010748,1.012775,1.009895,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.01136,0.0,2022-07-18 07:00:00,1.01112,False,False,51903.0,1.006931008483623,0,0,0.0016550000000000095,0,0,0,0,0,0,0.0034459810457235715,1
2022-07-18 08:00:00,1.0145,1.01486,1.0119,1.01298,7862,1.0112700000000001,1.01375,1.0102533333333334,1,0,0,0,1,0,1.00973,1,0,0,0,0,0,1.01136,0.0,2022-07-18 08:00:00,1.01112,True,False,44041.0,1.0072139976078978,0,0,0.0017950000000000069,0,0,0,0,0,0,-0.0015191124992900795,0
2022-07-18 09:00:00,1.01299,1.01574,1.01229,1.01548,6533,1.012548,1.01423,1.010855,1,0,0,0,1,0,1.01548,1,0,0,0,0,0,1.01136,0.0,2022-07-18 09:00:00,1.01112,False,False,50574.0,1.0075233110329582,0,0,0.0019657142857143007,0,0,0,0,0,0,0.0024649253776790115,1
2022-07-18 10:00:00,1.01548,1.01748,1.01501,1.01556,5640,1.0139140000000002,1.01552,1.0114516666666666,1,0,0,0,1,0,1.01548,1,0,0,0,0,0,1.01136,0.0,2022-07-18 10:00:00,1.01112,False,False,56214.0,1.007774811514432,0,0,0.0020814285714285835,0,0,0,0,0,0,7.877737517874661e-05,1
2022-07-18 11:00:00,1.01566,1.01587,1.01369,1.01417,6154,1.014542,1.014865,1.0118266666666667,1,0,0,0,1,0,1.01548,1,0,0,0,0,0,1.01136,0.0,2022-07-18 11:00:00,1.01587,False,False,50060.0,1.007985971456165,0,0,0.0021850000000000085,0,0,0,0,0,0,-0.0013696405110960302,0
2022-07-18 12:00:00,1.0142,1.01465,1.01186,1.0136,7655,1.014358,1.0138850000000001,1.0122025000000001,0,1,0,0,1,0,1.01548,1,0,0,0,0,0,1.01748,1.0,2022-07-18 12:00:00,1.01587,False,False,42405.0,1.0082074541191024,0,0,0.002307857142857163,1,0,0,0,0,0,-0.000562193951989536,0
2022-07-18 13:00:00,1.01363,1.01652,1.01234,1.01545,8217,1.0148519999999999,1.014525,1.0125891666666667,0,1,0,0,1,0,1.01548,1,0,0,0,0,0,1.01748,0.0,2022-07-18 13:00:00,1.01652,False,False,50622.0,1.0085017008978898,0,0,0.002479285714285747,0,0,0,0,0,0,0.001823513972189227,1
2022-07-18 14:00:00,1.01543,1.02006,1.01541,1.01932,10260,1.01562,1.017385,1.0133583333333334,1,0,0,0,1,0,1.01548,1,0,0,0,0,0,1.01748,0.0,2022-07-18 14:00:00,1.01652,False,False,60882.0,1.0090240043385788,1,0,0.0027242857142857507,0,0,0,0,0,0,0.0038038743114942987,1
2022-07-18 15:00:00,1.01935,1.01973,1.01573,1.01595,6692,1.015698,1.0176349999999998,1.0138233333333333,1,0,0,0,1,0,1.01548,1,0,0,0,0,0,1.01748,0.0,2022-07-18 15:00:00,1.01652,True,False,54190.0,1.009235445566687,0,0,0.002868571428571474,0,0,0,0,0,0,-0.003311602961590821,0
2022-07-18 16:00:00,1.01596,1.01766,1.01583,1.01663,4201,1.0161900000000001,1.01629,1.0144516666666668,1,0,0,0,1,0,1.01548,1,0,0,0,0,0,1.02006,1.0,2022-07-18 16:00:00,1.01766,False,True,58391.0,1.0093744958259665,0,0,0.002904285714285756,1,0,0,0,1,0,0.0006691003801763099,1
2022-07-18 17:00:00,1.01663,1.01767,1.01521,1.01538,4541,1.016546,1.0160049999999998,1.0150058333333334,0,1,0,0,1,0,1.01548,1,0,0,0,0,0,1.02006,0.0,2022-07-18 17:00:00,1.01766,False,False,53850.0,1.0094941337860723,0,0,0.0030157142857143437,0,0,0,0,0,0,-0.0012303090611491985,0
